zip_code,customer_count,avg_transactions,avg_sales_amount,public_transportation_pct
23228,11,1,15780.658399999997,0.6
23237,10,1,5823.068923076924,0.2
23324,19,1,5656.887758620689,1.8
23436,17,1,5126.790840000002,0.0
23454,13,1,16322.719499999996,1.0
23459,9,1,12083.06869230769,0.0
23464,16,1,8042.16560869565,1.0
23504,7,1,549.9899999999999,13.0
23509,12,1,3756.241125,4.3
23551,14,1,12162.791799999999,5.5
23605,18,1,3024.2214999999997,3.6
23663,24,1,4862.060137931034,2.9
24014,15,1,5262.37261904762,1.5
24020,17,1,2248.240799999999,0.0
24503,7,1,581.2401249999999,0.4
25313,12,1,2244.4910499999996,0.3
25705,10,1,16245.446454545452,1.7
26505,10,1,16124.659066666665,4.7
27105,11,1,3958.4117368421084,4.3
27110,11,1,521.4903499999999,0.0
27409,8,1,15376.992299999998,0.7
27455,11,1,11656.380888888885,0.2
27605,10,1,14669.403882352943,2.5
27610,17,1,3109.1906799999997,3.2
27615,16,1,527.4904999999999,0.6
27705,12,1,14274.714555555554,4.5
28205,7,1,7738.880555555557,6.7
28210,15,1,4866.947739130434,3.7
28215,16,1,539.9906842105262,2.6
28278,7,1,564.9906666666667,0.7
28305,15,1,13280.209478260867,2.3
28314,13,1,12778.992399999996,0.4
28405,14,1,559.6961176470587,1.1
28805,10,1,11290.761769230769,0.5
29203,13,1,12858.939368421052,3.5
29208,15,1,12044.79164,3.9
29225,12,1,14509.575083333331,6.1
29403,10,1,543.1151874999999,3.2
29424,17,1,12756.241791666665,5.0
29505,10,1,9460.658533333331,0.0
29579,12,1,6539.366687500001,0.0
29605,17,1,10352.213703703701,0.9
29615,12,1,8179.991352941177,0.2
29625,11,1,6861.380000000001,0.2
29805,10,1,534.6569999999999,0.1
29905,16,1,508.39949999999993,0.0
30022,8,1,557.4901666666666,0.9
30033,10,1,11165.25531578947,7.6
30045,17,1,8318.068538461535,0.4
30066,7,1,9043.9916,0.1
30092,13,1,7295.900227272726,2.0
30096,13,1,4401.3243999999995,1.5
30306,11,1,554.6056153846152,1.8
30311,11,1,15858.453615384613,24.5
30316,11,1,9634.366687499998,6.0
30328,9,1,14205.446727272729,10.0
30336,10,1,7900.705571428573,0.0
30340,17,1,5684.606730769232,6.8
30506,13,1,12771.75682352941,0.2
30605,13,1,6459.366,5.4
30905,9,1,8293.627454545453,14.6
31210,14,1,3287.133952380953,0.2
31217,21,1,15246.392559999997,2.3
31405,12,1,11741.2415,2.7
31410,8,1,509.1570833333333,0.3
31605,7,1,529.0816363636363,0.0
31904,14,1,3566.4614705882345,0.9
32092,11,1,10005.82466666667,0.0
32118,12,1,523.5197647058823,2.2
32128,16,1,3185.445363636364,0.7
32204,12,1,445.9908666666667,2.8
32209,15,1,4415.445181818183,10.8
32220,18,1,22974.39272,0.1
32225,10,1,8271.809363636366,0.6
32244,15,1,3955.2545789473693,1.4
32259,12,1,10033.117062499996,0.0
32277,12,1,567.3238,3.3
32304,18,1,9671.52996153846,3.9
32309,11,1,482.07408333333325,0.2
32405,6,1,494.3655,2.5
32505,13,1,10366.93588888889,1.6
32511,11,1,2037.7685555555556,0.0
32526,16,1,13336.51330434782,0.1
32605,14,1,6842.623000000001,2.4
32803,12,1,3564.108882352941,0.9
32808,6,1,494.2765714285715,8.8
32819,11,1,25034.278285714277,1.7
32825,15,1,9093.173090909093,0.7
32830,6,1,26137.136285714285,0.0
32835,13,1,2323.1487894736833,1.7
32909,9,1,11979.9912,0.2
33013,12,1,10507.213777777777,2.3
33018,11,1,539.9901176470587,1.5
33023,21,1,2295.1631724137933,4.5
33028,11,1,14954.27857142857,0.8
33034,11,1,12954.158749999997,6.7
33064,21,1,7345.798129032256,1.9
33069,14,1,5414.276642857146,4.1
33129,11,1,3022.1339285714284,4.4
33134,10,1,2672.298692307692,3.9
33141,4,1,521.9906000000001,14.0
33142,14,1,510.89954545454543,11.1
33147,15,1,13630.46780952381,9.0
33158,10,1,544.5356363636363,2.3
33169,9,1,510.8994545454545,6.1
33175,11,1,8151.658444444445,1.2
33180,15,1,519.435,1.6
33185,9,1,8079.991666666669,0.7
33190,16,1,10023.324555555555,3.3
33196,11,1,15911.530153846154,2.6
33305,11,1,6260.546611111113,1.0
33315,9,1,560.7049285714285,2.3
33325,16,1,12967.135523809518,0.8
33330,14,1,12654.992624999997,0.0
33405,8,1,5929.158083333335,3.7
33411,17,1,493.172409090909,1.5
33432,18,1,12902.060793103443,1.8
33436,15,1,6916.99184,0.5
33462,13,1,5325.78052631579,2.8
33467,8,1,14082.71927272727,1.1
33487,12,1,11783.11675,1.9
33543,10,1,29144.159583333338,0.1
33605,12,1,9562.491624999997,7.5
33610,14,1,6064.435833333333,2.8
33615,14,1,6292.740600000001,1.8
33620,16,1,487.99055,0.2
33625,11,1,5843.116000000003,0.8
33647,10,1,501.0618571428571,0.4
33705,18,1,22095.992699999995,3.4
33710,14,1,541.4903999999999,1.3
33715,8,1,537.9900999999999,0.0
33763,12,1,5069.324533333335,2.1
33777,9,1,6300.9914,0.9
33805,15,1,4754.990850000003,1.2
33811,8,1,499.99039999999997,0.1
33884,11,1,11961.658,0.4
33913,19,1,26489.576583333328,0.3
33954,13,1,16181.658888888885,0.0
33972,9,1,16387.684307692307,0.2
33982,9,1,9342.29884615385,0.4
34102,14,1,5946.83357894737,1.0
34108,12,1,7049.991357142857,1.5
34114,15,1,9707.9918,0.2
34135,11,1,4514.606461538461,1.1
34205,13,1,2828.657666666666,2.3
34210,9,1,17159.993,1.1
34233,14,1,4580.303687499999,1.3
34238,12,1,6754.9916875,0.0
34474,8,1,537.6825384615383,0.1
34479,11,1,19197.492349999997,0.8
34949,10,1,9073.324916666666,0.6
34981,10,1,567.6826923076923,0.0
35205,10,1,22258.659399999997,1.6
35210,21,1,5808.226264705882,0.1
35215,10,1,6734.991857142857,0.5
35242,12,1,11087.050411764703,0.1
35244,8,1,7769.991333333334,0.0
35254,12,1,4579.514619047622,4.1
35405,12,1,3512.2640909090915,0.3
35805,15,1,4551.756294117648,1.8
35810,9,1,5924.991166666668,0.6
35905,8,1,6445.445636363639,0.0
36104,18,1,2917.64728125,2.1
36109,8,1,5531.52976923077,0.8
36205,9,1,514.9900999999999,0.0
36605,15,1,3621.8955238095236,1.2
36610,10,1,3207.6832307692307,3.4
37205,11,1,4433.991200000001,2.3
37210,24,1,5601.062607142856,4.2
37215,13,1,2961.062428571428,0.6
37220,10,1,10029.9915,0.9
37228,12,1,560.516947368421,1.1
37240,10,1,10681.866875000002,3.6
37405,9,1,6213.324266666667,0.2
37410,21,1,7704.658166666664,10.0
37416,19,1,7736.791199999998,0.0
37665,12,1,21784.368625,0.0
37914,11,1,513.3238333333334,2.1
37919,11,1,508.5620714285714,0.8
37924,20,1,10031.2415,0.2
37931,11,1,486.65693333333326,0.2
38104,12,1,549.3238,1.6
38109,13,1,6445.900409090907,2.0
38114,14,1,9518.991449999998,6.0
38119,12,1,502.3237333333333,0.0
38126,15,1,5496.947173913047,6.9
39204,18,1,5579.812714285713,2.2
39216,14,1,11761.570842105262,0.0
39305,18,1,26499.576166666662,0.0
39534,19,1,7644.991730769232,0.5
39705,14,1,526.6568333333332,0.0
40205,16,1,2024.276619047619,1.6
40210,9,1,5930.824666666667,12.5
40215,7,1,517.4901249999999,5.8
40220,12,1,521.5693157894736,1.2
40280,8,1,25978.88244444444,0.0
40505,8,1,11409.082999999999,3.9
40510,13,1,6559.108941176471,1.6
40515,11,1,4385.579117647059,0.2
43204,14,1,10919.991545454546,2.3
43210,16,1,12036.18214285714,9.6
43215,20,1,10079.799769230767,2.6
43220,12,1,7289.990941176471,2.5
43231,11,1,9853.116437499997,2.1
43240,13,1,15358.992699999993,0.0
43605,13,1,2226.9909499999985,2.7
43610,10,1,4322.343882352942,10.3
43615,14,1,4962.13419047619,1.0
44105,15,1,2244.991,10.5
44111,9,1,10451.658333333333,6.0
44118,10,1,538.6569333333332,3.6
44125,14,1,2196.18119047619,2.8
44130,14,1,535.2844705882353,1.4
44305,9,1,9669.325199999997,3.4
44310,14,1,5927.885789473685,3.4
44321,11,1,538.6571333333333,0.0
44485,10,1,547.2631818181818,0.5
44505,8,1,518.4905,2.0
44511,9,1,522.49025,1.7
44705,15,1,561.6569166666666,2.1
44710,15,1,8059.039619047618,3.0
44720,8,1,552.4905833333333,1.0
44905,8,1,482.9907,0.8
45203,12,1,488.8791666666666,21.6
45208,13,1,474.20115789473687,1.7
45213,11,1,8478.452769230771,4.5
45218,7,1,512.2130000000001,0.2
45223,18,1,5763.055903225808,10.8
45233,11,1,3179.221923076922,1.6
45238,7,1,478.87955555555556,4.0
45243,13,1,7292.932117647061,0.2
45249,8,1,10069.158333333333,0.5
45403,12,1,12049.36725,10.2
45414,12,1,9918.4915,1.7
45419,11,1,503.3236666666666,2.0
45426,11,1,9805.61675,5.9
45432,14,1,6408.116000000001,0.4
45440,11,1,6185.657733333336,0.3
45505,13,1,494.99061111111104,1.4
45807,12,1,11158.602666666666,0.0
46202,12,1,19585.242349999993,7.3
46216,10,1,3161.5296153846143,0.0
46221,12,1,5182.13392857143,0.4
46226,9,1,548.9903999999999,2.1
46231,10,1,5945.824250000001,0.6
46239,13,1,11577.63864705882,0.1
46254,15,1,7677.383130434781,2.2
46278,10,1,4835.324466666667,0.0
46406,11,1,33990.826916666665,4.8
46614,10,1,514.6778749999999,1.1
46805,14,1,9634.75361904762,1.9
46814,14,1,13508.939263157896,0.2
46825,12,1,3803.7409999999986,0.2
47306,8,1,527.49025,1.2
47405,13,1,7679.991062500001,9.6
47712,18,1,8188.68704347826,0.3
47725,7,1,5408.324833333333,0.0
47805,14,1,12232.991850000002,0.2
47905,13,1,6516.833315789474,1.5
48076,13,1,5725.255052631579,1.3
48092,13,1,10294.992166666667,0.3
48098,14,1,3499.9915454545453,0.3
48126,12,1,7482.803937500002,0.6
48206,16,1,7418.324541666665,14.4
48211,10,1,539.9902307692306,5.9
48217,16,1,5949.038619047618,8.6
48224,16,1,4213.086000000003,9.5
48335,9,1,9809.575416666668,1.2
48505,8,1,15179.607615384615,8.1
48604,13,1,5334.201315789474,0.4
48609,10,1,16156.463294117646,0.0
48912,12,1,17104.055375,5.6
49006,16,1,11646.355454545452,3.4
49048,13,1,519.3239333333333,1.8
49444,10,1,7695.616000000001,0.9
49505,11,1,14814.277214285714,3.3
49544,10,1,11769.3664375,3.8
50310,10,1,11181.420357142855,2.6
50315,18,1,5702.074583333334,1.9
50320,13,1,5344.678312500001,1.0
51105,11,1,530.5787647058822,2.6
52245,10,1,4392.344000000002,8.3
52405,5,1,513.3236666666667,0.6
52804,9,1,3367.264363636363,1.0
53205,17,1,12850.39192,16.4
53210,9,1,16969.992538461534,14.3
53215,6,1,12113.743125,6.1
53220,16,1,11233.905173913043,1.5
53225,19,1,3335.860347826087,5.7
53405,8,1,487.2632727272727,2.1
53705,21,1,14569.62151851851,20.6
53716,11,1,5518.452692307694,3.8
53726,8,1,493.740625,17.4
54313,12,1,9734.991722222225,0.2
54915,10,1,6339.325000000002,0.6
55103,17,1,4987.096157894739,17.8
55108,15,1,5509.108470588238,11.0
55114,10,1,550.6154374999999,19.7
55115,11,1,477.3235999999999,1.2
55123,10,1,10928.173181818182,2.7
55127,8,1,12019.083545454545,2.0
55402,15,1,9179.99184210526,24.5
55407,21,1,3437.491205882354,15.0
55412,14,1,7994.991400000001,14.7
55417,12,1,16642.492124999997,9.6
55423,11,1,4624.990875,7.2
55428,12,1,7364.0821818181785,4.8
55436,14,1,507.2127222222221,3.0
55441,7,1,10822.991400000003,4.0
55446,13,1,9735.255052631577,3.8
55448,14,1,4810.943571428572,2.7
55805,9,1,521.9902666666666,9.0
55811,11,1,21242.492916666666,1.3
57105,15,1,503.8002380952381,0.6
57110,10,1,487.49049999999994,0.5
59105,6,1,539.9904444444444,0.3
60193,17,1,541.5694736842104,4.6
60435,11,1,7748.047166666666,2.2
60505,18,1,541.3540909090908,1.3
60604,7,1,556.6568888888888,18.5
60609,18,1,5866.062535714285,23.1
60614,5,1,24465.994400000003,43.2
60619,12,1,5242.213111111111,29.8
60624,12,1,4571.866125,35.3
60630,15,1,22839.517380952377,21.5
60636,10,1,514.9903333333332,28.2
60641,11,1,561.1668235294118,21.8
60646,10,1,2845.991199999999,12.3
60652,5,1,30438.327166666666,14.7
60657,12,1,6230.990950000001,50.9
61605,13,1,2652.4913749999987,8.5
61614,9,1,528.8793333333333,1.0
62205,12,1,7386.657466666668,11.6
62711,11,1,533.1155,0.2
63104,20,1,13039.591879999998,5.7
63110,13,1,14891.65952380952,4.2
63116,10,1,15474.991666666669,6.3
63121,14,1,13037.992249999994,12.3
63126,10,1,7612.491062500001,0.9
63131,10,1,572.3429999999998,0.4
63136,17,1,11287.991719999996,12.3
63143,10,1,571.9906,6.1
64054,17,1,6316.9141538461545,1.7
64082,16,1,14041.7424,0.1
64101,10,1,520.6572666666666,0.0
64109,8,1,7029.4913000000015,13.5
64114,16,1,16657.909083333325,3.1
64125,17,1,3500.680689655173,2.8
64130,18,1,8228.39228,10.2
64136,13,1,5253.880111111112,0.0
64149,10,1,6754.9916250000015,0.0
64153,13,1,7200.658333333334,0.0
64504,19,1,8195.348428571426,0.8
65810,6,1,29957.136,0.0
66105,12,1,8155.874117647059,0.2
66112,12,1,519.4347222222221,1.3
66205,16,1,6482.214407407407,0.4
66210,20,1,5437.571516129029,0.3
66215,15,1,566.8326842105262,0.6
66220,20,1,14861.843962962961,0.0
66606,13,1,4875.2292380952385,1.1
66611,10,1,15642.933823529413,1.0
66617,9,1,8206.145692307693,0.0
67205,10,1,30956.779714285713,0.1
67210,8,1,495.8996363636363,0.6
67215,17,1,12987.592200000003,0.0
67220,16,1,5612.7915600000015,1.8
67230,17,1,4653.562714285715,0.0
68105,14,1,6903.491899999999,2.6
68110,6,1,3652.7187272727274,5.8
68117,11,1,519.990625,0.0
68124,18,1,4963.260192307693,0.8
68134,18,1,559.1208695652173,1.2
68144,8,1,14440.901454545454,1.3
68164,15,1,5281.896238095238,0.2
68505,14,1,5615.255210526317,0.6
68510,15,1,552.8475,0.6
68517,14,1,6006.809954545454,0.0
68524,14,1,9908.116562500003,0.7
68531,12,1,8633.7426875,0.0
70005,14,1,11961.044315789473,2.5
70116,13,1,12768.939263157892,7.6
70124,18,1,12718.45338461538,1.1
70129,16,1,9874.339391304347,4.5
70607,12,1,7351.9916,0.3
70805,18,1,9960.336379310342,4.5
70810,12,1,9192.299461538463,0.4
70815,13,1,551.5694210526315,2.7
70820,17,1,7796.1983103448265,3.9
71105,12,1,529.9905625,0.8
71115,7,1,489.9907142857143,0.5
72118,7,1,4354.435777777778,2.2
72204,21,1,8371.288259259258,1.7
72209,10,1,5509.222076923077,1.0
72916,8,1,497.49064285714286,0.0
73034,11,1,515.2847058823528,0.2
73071,12,1,4428.226000000002,0.7
73104,5,1,29106.243000000002,0.7
73109,21,1,4991.133914285715,0.3
73114,18,1,5343.991000000001,0.8
73119,10,1,5149.276857142858,0.4
73129,14,1,11756.94865217391,1.9
73135,9,1,466.2408333333333,0.2
73142,15,1,24845.25589473684,0.0
73173,11,1,5235.5467777777785,0.0
73179,15,1,1967.3595263157895,0.2
74103,12,2,10074.157749999998,5.4
74108,21,1,13530.706571428575,0.5
74116,18,1,9448.7415,1.0
74126,15,1,476.49084999999997,3.4
74133,12,1,4153.7411875,0.4
75044,8,1,7502.263818181821,2.4
75062,13,1,512.8477142857142,2.6
75074,11,1,12377.849142857143,2.1
75205,16,1,5504.338826086957,0.9
75210,16,1,9983.469521739129,11.7
75216,4,1,579.99,8.0
75226,10,1,8163.838230769231,6.0
75231,12,1,6517.491437500003,9.2
75236,6,1,577.7679999999999,2.7
75241,8,1,557.7683333333332,6.0
75246,12,1,2199.99095,10.9
75251,15,1,11029.465,0.0
75287,17,1,12774.122478260872,2.0
75605,12,1,6968.741299999999,0.0
75705,6,1,7771.658222222222,0.0
76011,12,1,4848.657533333333,0.2
76016,7,1,16205.992199999999,0.1
76105,7,1,521.4187142857143,1.4
76110,15,1,6237.4908000000005,1.1
76115,13,1,9324.3665,0.9
76129,10,1,8139.324466666669,0.0
76134,14,1,21747.26581818182,1.0
76205,10,1,6467.263909090911,1.6
76210,10,1,509.9908461538462,1.0
76305,14,1,6056.658055555555,0.0
76310,13,1,508.1483684210525,0.0
76544,14,1,10539.991666666669,0.2
76705,11,1,20018.65973333333,0.8
76711,17,1,11191.592119999998,0.1
76905,15,1,19405.255631578944,0.2
77005,10,1,12495.929,0.7
77010,10,1,503.0677692307693,0.0
77015,17,1,14138.992079999998,1.4
77020,11,1,10449.992,6.2
77025,9,1,5935.824250000002,7.3
77030,11,1,15425.874529411763,7.5
77035,7,1,529.0813636363636,5.0
77040,15,1,4371.7558823529425,1.6
77045,15,1,12336.182142857142,3.9
77050,9,1,10864.278214285716,0.2
77055,12,1,2851.9909999999995,4.0
77060,12,1,519.2212307692307,5.2
77065,16,1,20118.742949999996,1.5
77070,15,1,488.99065,2.1
77075,12,1,514.9901249999999,1.8
77080,14,1,2460.546388888889,2.7
77085,11,1,4829.366562500001,2.9
77090,11,1,540.7596153846154,2.7
77095,12,1,7277.637823529414,1.9
77346,10,1,543.5619285714286,1.6
77386,14,1,1944.7278421052627,1.3
77388,11,1,4553.52023529412,1.6
77493,13,1,11730.28588235294,1.1
77505,14,1,15556.103166666664,0.3
77554,10,1,524.9904285714284,0.4
77705,10,1,518.7404375,1.0
77713,9,1,6326.9919,0.0
78044,9,1,2582.34394117647,0.0
78205,10,1,8149.15825,2.2
78210,14,1,7512.491416666664,7.7
78215,13,1,6281.102166666667,5.8
78220,12,1,6548.412000000001,7.3
78225,16,1,4109.713222222224,4.9
78230,12,1,11766.30752631579,1.7
78235,14,1,10009.4913,0.0
78240,10,1,5545.285235294119,2.5
78245,11,1,7407.849142857143,0.8
78250,11,1,8909.991857142859,1.0
78255,16,1,11987.38308695652,0.2
78260,14,1,22455.219727272724,0.2
78405,15,1,8867.769333333328,4.5
78410,12,1,7619.991714285717,0.2
78415,12,1,578.1719545454545,1.5
78703,10,1,591.7550588235293,6.7
78721,14,1,4669.991041666669,5.9
78726,10,1,579.9904666666666,0.3
78732,7,1,12364.538636363635,0.2
78737,8,1,554.9906,0.0
78744,13,1,533.8795555555555,4.1
78749,19,1,5093.990800000001,0.6
78754,10,1,15373.069538461537,0.2
78759,9,1,522.2981538461538,2.4
79118,6,1,25900.548555555557,0.4
79410,16,1,3247.907875000002,0.0
79415,20,1,1949.1574583333322,4.6
79605,20,1,6739.991103448276,0.3
79699,10,1,11264.992,0.0
79705,12,1,10319.991714285714,0.5
79764,14,1,3235.4074166666674,0.7
79905,10,1,549.9899999999999,5.4
79911,10,2,540.9902999999999,0.0
79916,14,1,518.740375,0.0
79928,5,1,13419.991750000001,0.3
79934,11,1,11878.117062499996,1.5
80005,17,1,8878.628136363635,3.2
80015,19,1,7699.591159999998,2.8
80045,14,1,9589.991318181817,0.0
80126,13,1,9964.99186363636,2.4
80127,13,1,534.4348888888887,2.0
80204,16,1,6919.435222222224,11.0
80209,12,1,557.6374705882351,5.5
80223,11,1,19389.992666666665,10.0
80228,11,1,477.3238666666666,4.7
80235,11,1,541.9903333333332,2.6
80241,12,1,9857.134571428573,3.6
80249,13,1,9090.900181818184,3.8
80305,17,1,10717.908374999997,12.5
80310,14,1,5463.880444444447,14.1
80525,7,1,8214.536818181818,1.1
80905,8,1,9030.547111111113,2.9
80910,18,1,12184.79244,2.0
80915,12,1,5291.5534375000025,0.7
80920,15,1,3255.780421052631,0.2
80925,10,1,3358.324583333333,0.0
80930,14,1,9263.324999999997,0.0
80951,18,1,4754.805666666669,0.0
81005,17,1,9510.408583333332,1.2
81505,18,1,7770.407708333335,0.1
82007,8,1,499.9901818181817,1.1
83705,11,1,4132.768500000001,0.8
83716,9,1,516.1445384615384,0.3
84093,18,1,3379.555956521741,1.9
84105,10,1,4999.222153846154,5.1
84115,15,1,3821.896047619048,10.2
84120,13,1,3422.768833333333,4.0
84403,4,1,14041.420142857145,2.1
85015,17,1,4408.324416666667,9.1
85020,12,1,5968.6277272727275,2.8
85035,10,1,5523.068153846155,4.1
85040,6,1,474.98999999999995,4.7
85045,14,1,11145.269222222218,1.6
85053,13,1,5874.990875,4.1
85083,14,1,12302.372904761904,0.6
85205,15,1,3772.2131111111116,1.4
85210,14,1,7385.209043478259,4.0
85215,9,1,16284.992250000001,0.7
85255,13,1,9069.991875,0.4
85260,7,1,5478.563,0.6
85284,13,1,490.70478571428566,1.1
85297,10,1,7072.298923076923,0.3
85305,8,1,559.0811818181817,0.7
85383,14,1,10304.10911764706,0.3
85705,19,1,7006.324433333333,6.7
85710,13,1,16863.60322222222,3.6
85715,11,1,6211.991000000001,1.6
85737,15,1,9711.462470588234,0.4
85743,6,1,554.4346666666665,0.3
85748,16,1,5503.4689565217395,1.1
86305,5,1,518.5618571428571,0.0
87105,15,1,5475.9914,1.6
87110,11,1,513.0673076923076,2.5
87121,12,1,4945.873411764707,1.2
87505,10,1,484.9905833333333,1.4
89012,13,1,13325.875176470587,0.4
89074,10,1,554.6569999999999,0.5
89110,17,1,9855.591519999998,3.9
89115,15,1,13331.756352941176,7.4
89120,12,1,474.1083529411764,4.6
89130,12,1,5832.4910625,1.9
89135,9,1,504.99075,0.2
89145,15,1,7609.241550000001,3.8
89166,16,1,3521.3367692307697,0.6
89178,12,1,8612.848642857143,0.5
89436,5,1,579.990625,0.1
89510,13,1,11884.202421052629,0.0
89519,13,1,6551.043736842105,0.0
89706,13,1,3768.4909500000017,0.4
90005,12,1,2801.3244666666665,29.5
90010,15,1,8071.570736842104,11.5
90015,15,1,11937.491624999995,24.4
90020,15,1,7391.043894736842,17.3
90025,15,1,4422.717772727273,7.9
90035,14,1,3317.1337619047617,4.3
90040,15,1,13766.307684210524,3.2
90045,13,1,13095.617062499998,3.3
90065,17,1,503.03408695652166,9.4
90094,8,1,523.6267272727272,0.6
90305,14,1,15353.939157894732,4.3
90405,14,1,14119.591959999992,3.6
90505,18,1,3793.8371153846165,1.8
90605,12,1,6701.935944444447,2.3
90805,19,1,3361.295260869565,5.5
90810,9,1,8846.35490909091,5.8
91103,11,1,5561.755882352944,7.9
91205,8,1,3430.8244999999993,6.0
91210,10,1,7825.375461538461,0.0
91406,9,1,570.8994545454544,7.7
91411,9,1,14166.867187499996,7.5
91505,7,1,11931.4914,4.3
91606,13,1,482.76861111111117,8.1
91913,13,1,4667.133928571428,1.2
92056,15,1,539.9903499999999,2.8
92105,12,1,14397.886684210524,7.5
92110,12,1,576.353909090909,3.5
92115,23,1,9533.775378378372,6.3
92121,7,1,7036.991600000001,4.2
92127,9,1,3987.9914,0.7
92145,11,1,536.9137692307693,0.0
92405,13,1,3522.263727272727,2.0
